loss,mae,val_loss,val_mae
0.34319645166397095,0.42423710227012634,0.1788467913866043,0.315752238035202
0.17380689084529877,0.30974990129470825,0.1514749974012375,0.2922404706478119
0.15052221715450287,0.2875089943408966,0.13944706320762634,0.27620774507522583
0.13892300426959991,0.27840298414230347,0.13131526112556458,0.2668876349925995
0.13376352190971375,0.27212297916412354,0.12425719201564789,0.2631882131099701
0.13149163126945496,0.27088138461112976,0.12062638252973557,0.25966569781303406
0.1282465010881424,0.26720187067985535,0.1206013560295105,0.2564294934272766
0.12365639954805374,0.2631039619445801,0.11396147310733795,0.2547318637371063
0.12238849699497223,0.2617470920085907,0.11133497208356857,0.24899333715438843
0.11933208256959915,0.25882861018180847,0.11805086582899094,0.25804221630096436
